case_id,customer_query,expected_intent,predicted_intent,response,judge_score,judge_raw_output,human_score
188,"@spotifycares Unable to log in, unable to reset password and unable to contact anybody. Pls get back to me asap or i will cancel account",account_login,account_login,"Sorry you're having trouble signing in. Based on similar support cases, we'd recommend providing your account username or email so the account can be checked securely. Please don't share your password here.",5,5,4.0
92,"@SpotifyCares No, the problem is I open the app and it says im offline, so it doesn't login. But, I am connected to my mobile network",account_login,account_login,Sorry you're having trouble signing in. Could you confirm whether you're receiving an error message or being returned to the login screen? Please don't share your password.,4,4,4.0
70,@SpotifyCares I received an email saying I updated my email address and now I'm not able to login using email or Facebook.,account_login,account_login,"Sorry you're having trouble signing in. Based on similar support cases, we'd recommend providing your account username or email so the account can be checked securely. Please don't share your password here.",4,4,2.0
140,"@SpotifyCares Yes I have, twice in 2 days and my new account has been accessed to within a few hours although ALL precautions have been taken I basically can't have a premium account until you install proper security measures (maybe look at what Google does with double passwords...)",account_login,account_login,"Sorry you're having trouble signing in. Based on similar support cases, we'd recommend providing your account username or email so the account can be checked securely. Please don't share your password here.",4,4,5.0
67,@SpotifyCares Without it being able to work with voice controls on Android auto it's next to useless to me,general,general,"Thanks for reaching out! Could you provide a few more details about the issue, including the device you're using and what happens when you try?",1,1,3.0
178,@SpotifyCares I pay a monthly fee for this but now can't download any other music to listen to on the go. I'm paying to not be able to do something. (3),general,general,"Thanks for reaching out! Could you provide a few more details about the issue, including the device you're using and what happens when you try?",3,3,2.0
193,@SpotifyCares Do you care?,general,general,"Thanks for reaching out! Could you provide a few more details about the issue, including the device you're using and what happens when you try?",4,4,1.0
173,@SpotifyCares I'll try in 30min :),general,general,"Thanks for reaching out! Could you provide a few more details about the issue, including the device you're using and what happens when you try?",4,4,4.0
83,@SpotifyCares Thanks!,general,general,"Thanks for reaching out! Could you provide a few more details about the issue, including the device you're using and what happens when you try?",5,5,3.0
112,@SpotifyCares Both.,general,general,"Thanks for reaching out! Could you provide a few more details about the issue, including the device you're using and what happens when you try?",4,4,3.0
107,@SpotifyCares when #Spotify will come to India?,general,general,"Thanks for reaching out! Could you provide a few more details about the issue, including the device you're using and what happens when you try?",4,4,4.0
192,"@SpotifyCares iPhone 7+, Dear Evan Hansen's playlist (that I have saved) won't play :(",playback,playback,"Thanks for reaching out! Let's troubleshoot the playback issue. Could you tell us what device you're using and which version of Spotify is installed? Also check whether Spotify is in Offline Mode and try restarting the app or your device. If the issue continues, let us know what happens when playback stops.",4,4,2.0
127,"Hey @SpotifyCares is there any way I can fix the issues with my songs skipping? (Almost like a scratched CD.) I have updated the app & also uninstalled & reinstalled the app onto my phone, but nothing has worked.",playback,playback,"Thanks for reaching out! Let's troubleshoot the playback issue. Could you tell us what device you're using and which version of Spotify is installed? Also check whether Spotify is in Offline Mode and try restarting the app or your device. If the issue continues, let us know what happens when playback stops.",4,4,4.0
164,"@SpotifyCares It sometimes appears a playback failed message, but not all the time",playback,general,"Thanks for reaching out! Could you provide a few more details about the issue, including the device you're using and what happens when you try?",4,4,3.0
